cluster_type,cluster,focal_rows,rest_same_cluster_rows,focal_dead_rate,rest_dead_rate,focal_predicted_dead_rate,rest_predicted_dead_rate,focal_weighted_f1,rest_weighted_f1,focal_false_positive,focal_false_negative,rest_false_positive,rest_false_negative,focal_alive_denominator,rest_alive_denominator,focal_false_positive_rate,rest_false_positive_rate,false_positive_rate_difference,fpr_fisher_p_value,focal_dead_denominator,rest_dead_denominator,focal_false_negative_rate,rest_false_negative_rate,false_negative_rate_difference,fnr_fisher_p_value,focal_error_rate,rest_error_rate,error_rate_difference,overall_error_fisher_p_value,overall_error_bh_q_value,fpr_bh_q_value,fnr_bh_q_value,descriptive_overall_error_flag,fpr_denominator_gate,fnr_denominator_gate,class_conditional_fpr_signal,class_conditional_fnr_signal,class_conditional_excess_error_signal
composite_stage_x_histology_code,EOD unavailable (all blank) | 8010,31,439,0.8709677419354839,0.9840546697038725,1.0,0.9977220956719818,0.8109010011123471,0.9812544183489121,4,0,6,0,4,7,1.0,0.8571428571428571,0.1428571428571429,1.0,27,432,0.0,0.0,0.0,1.0,0.12903225806451613,0.01366742596810934,0.11536483209640679,0.002476558830733991,0.04953117661467982,1.0,1.0,True,False,False,False,False,False
composite_stage_x_histology_family,EOD unavailable (all blank) | adenocarcinoma family,473,4852,0.8308668076109936,0.8876751854905194,0.8604651162790697,0.9080791426215994,0.8286316574473631,0.8891594774077987,46,32,307,208,80,545,0.575,0.563302752293578,0.011697247706421998,0.9041141078318422,393,4307,0.08142493638676845,0.04829347573717205,0.033131460649596406,0.007892235065590308,0.1649048625792812,0.10614179719703215,0.05876306538224904,0.00022262005522929193,0.0062333615464201745,1.0,0.10654517338546916,True,True,True,False,False,False
composite_stage_x_histology_code,EOD unavailable (all blank) | 8140,407,4095,0.8624078624078624,0.9177045177045177,0.9066339066339066,0.946031746031746,0.8509540488263894,0.9132563723555811,37,19,220,104,56,337,0.6607142857142857,0.6528189910979229,0.007895294616362847,1.0,351,3758,0.05413105413105413,0.027674294837679615,0.026456759293374515,0.012532211099563886,0.1375921375921376,0.07912087912087912,0.058471258471258475,0.0001613989064927085,0.00645595625970834,1.0,0.16291874429433054,True,True,True,False,False,False
composite_stage_x_histology_code,EOD unavailable (all blank) | 8255,16,178,0.5,0.6741573033707865,0.4375,0.6685393258426966,0.43529411764705883,0.7589539467683419,4,5,21,22,8,58,0.5,0.3620689655172414,0.13793103448275862,0.4650486255233094,8,120,0.625,0.18333333333333332,0.44166666666666665,0.010519960972130878,0.5625,0.24157303370786518,0.3209269662921348,0.01439786019350677,0.1439786019350677,1.0,0.16291874429433054,False,False,False,False,False,False
composite_stage_x_histology_family,M0 N0 T3-4 locally advanced | squamous family,8,221,0.625,0.746606334841629,0.875,0.7375565610859729,0.41666666666666663,0.8200403890202275,3,1,19,21,3,56,1.0,0.3392857142857143,0.6607142857142857,0.047371497123873396,5,165,0.2,0.12727272727272726,0.07272727272727275,0.50432965879998,0.5,0.18099547511312217,0.3190045248868778,0.04625843320396319,0.18534316840356505,0.42634347411486057,0.8510562992249663,False,False,False,False,False,False
composite_stage_x_histology_code,M0 N0 T3-4 locally advanced | 8140,8,148,0.75,0.6081081081081081,0.5,0.6081081081081081,0.5333333333333333,0.7702702702702703,1,3,17,17,2,58,0.5,0.29310344827586204,0.20689655172413796,0.5135593220338983,6,90,0.5,0.18888888888888888,0.3111111111111111,0.10265626245080754,0.5,0.22972972972972974,0.2702702702702703,0.0994714954958265,0.397885981983306,1.0,0.4869366337871189,False,False,False,False,False,False
composite_stage_x_histology_code,EOD unavailable (all blank) | 8240,15,128,0.5333333333333333,0.4453125,0.3333333333333333,0.390625,0.5206636500754148,0.7713485150222668,2,5,11,18,7,71,0.2857142857142857,0.15492957746478872,0.13078470824949698,0.33003725361331715,8,57,0.625,0.3157894736842105,0.3092105263157895,0.11927431537393023,0.4666666666666667,0.2265625,0.24010416666666667,0.05840999184248424,0.29204995921242116,1.0,0.4869366337871189,False,False,False,False,False,False
composite_stage_x_histology_family,M0 N1-3 node-positive | NOS/other epithelial family,9,133,0.6666666666666666,0.9097744360902256,0.7777777777777778,0.9398496240601504,0.6461538461538462,0.8850663243474539,2,1,9,5,3,12,0.6666666666666666,0.75,-0.08333333333333337,1.0,6,121,0.16666666666666666,0.04132231404958678,0.12534435261707988,0.2565213020709929,0.3333333333333333,0.10526315789473684,0.22807017543859648,0.07632613414545648,0.23745908400808682,1.0,0.577172929659734,False,False,False,False,False,False
composite_stage_x_histology_code,M0 N1-3 node-positive | 8010,5,41,0.4,0.8048780487804879,0.8,0.8536585365853658,0.5666666666666667,0.7938102070096331,2,0,5,3,3,8,0.6666666666666666,0.625,0.04166666666666663,1.0,2,33,0.0,0.09090909090909091,-0.09090909090909091,1.0,0.4,0.1951219512195122,0.20487804878048782,0.295247724974722,0.590495449949444,1.0,1.0,False,False,False,False,False,False
composite_stage_x_histology_code,EOD unavailable (all blank) | 8480,9,141,0.7777777777777778,0.8297872340425532,0.6666666666666666,0.8297872340425532,0.6871794871794872,0.8581560283687943,1,2,10,10,2,24,0.5,0.4166666666666667,0.08333333333333331,1.0,7,117,0.2857142857142857,0.08547008547008547,0.20024420024420023,0.1373411018373925,0.3333333333333333,0.14184397163120568,0.19148936170212763,0.14213419182721831,0.4637261279434867,1.0,0.4869366337871189,False,False,False,False,False,False
composite_stage_x_histology_family,M0 N0 T3-4 locally advanced | adenocarcinoma family,16,239,0.5625,0.5523012552301255,0.25,0.4811715481171548,0.5359311740890689,0.7537264907888119,1,6,21,38,7,107,0.14285714285714285,0.19626168224299065,-0.0534045393858478,1.0,9,132,0.6666666666666666,0.2878787878787879,0.37878787878787873,0.026447207336392276,0.4375,0.24686192468619247,0.19063807531380753,0.13559437704060212,0.29204942747206614,1.0,0.23802486602753048,False,False,False,False,False,False
