fold_source,analysis_role,eligible_for_intervention_fold_gate,outer_fold,age_band,rows,actual_dead_rate,predicted_dead_rate,weighted_f1,dead_class_f1,accuracy,dead_precision,dead_recall,true_positive,false_positive,true_negative,false_negative,false_positive_rate,false_negative_rate,error_rate,mean_probability,roc_auc,brier_score
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,1,40-44 years,24,0.5,0.5833333333333334,0.7482517482517483,0.7692307692307693,0.75,0.7142857142857143,0.8333333333333334,10,4,8,2,0.3333333333333333,0.16666666666666666,0.25,0.5850614685590156,0.8333333333333333,0.174577838515243
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,2,40-44 years,27,0.6296296296296297,0.5555555555555556,0.7809343434343434,0.8125,0.7777777777777778,0.8666666666666667,0.7647058823529411,13,2,8,4,0.2,0.23529411764705882,0.2222222222222222,0.6362415044151647,0.8764705882352941,0.12800460052211682
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,3,40-44 years,27,0.6666666666666666,0.7777777777777778,0.8034188034188035,0.8717948717948718,0.8148148148148148,0.8095238095238095,0.9444444444444444,17,4,5,1,0.4444444444444444,0.05555555555555555,0.18518518518518517,0.7057606225447328,0.8950617283950617,0.12470401267973702
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,4,40-44 years,38,0.8421052631578947,0.8157894736842105,0.8724375040164513,0.9206349206349206,0.868421052631579,0.9354838709677419,0.90625,29,2,4,3,0.3333333333333333,0.09375,0.13157894736842105,0.7931389829897373,0.9479166666666666,0.06686934394645001
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,5,40-44 years,42,0.7380952380952381,0.7380952380952381,0.9523809523809523,0.967741935483871,0.9523809523809523,0.967741935483871,0.967741935483871,30,1,10,1,0.09090909090909091,0.03225806451612903,0.047619047619047616,0.7162685838281516,0.9912023460410557,0.045997788919513574
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,1,45-49 years,72,0.7361111111111112,0.7222222222222222,0.8484533984533985,0.8952380952380953,0.8472222222222222,0.9038461538461539,0.8867924528301887,47,5,14,6,0.2631578947368421,0.11320754716981132,0.1527777777777778,0.7029753317810478,0.9046673286991063,0.10462716087793356
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,2,45-49 years,91,0.6923076923076923,0.7692307692307693,0.8277286623151284,0.8872180451127819,0.8351648351648352,0.8428571428571429,0.9365079365079365,59,11,17,4,0.39285714285714285,0.06349206349206349,0.16483516483516483,0.741211848910178,0.9121315192743764,0.11600510982365118
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,3,45-49 years,61,0.6229508196721312,0.6885245901639344,0.8323575331772052,0.875,0.8360655737704918,0.8333333333333334,0.9210526315789473,35,7,16,3,0.30434782608695654,0.07894736842105263,0.16393442622950818,0.6914599388156348,0.9061784897025172,0.11318716690207573
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,4,45-49 years,59,0.8305084745762712,0.8135593220338984,0.9168351597147683,0.9484536082474226,0.9152542372881356,0.9583333333333334,0.9387755102040817,46,2,8,3,0.2,0.061224489795918366,0.0847457627118644,0.7931575454388703,0.9510204081632653,0.06103737329941074
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,5,45-49 years,58,0.7931034482758621,0.7586206896551724,0.8323017978190392,0.8888888888888888,0.8275862068965517,0.9090909090909091,0.8695652173913043,40,4,8,6,0.3333333333333333,0.13043478260869565,0.1724137931034483,0.7495498822664662,0.8822463768115942,0.11195627788776395
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,1,50-54 years,160,0.8,0.7875,0.8640419947506561,0.9133858267716536,0.8625,0.9206349206349206,0.90625,116,10,22,12,0.3125,0.09375,0.1375,0.7897323695123102,0.906982421875,0.08724073136566188
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,2,50-54 years,166,0.7469879518072289,0.7650602409638554,0.8719072838498748,0.9163346613545816,0.8734939759036144,0.905511811023622,0.9274193548387096,115,12,30,9,0.2857142857142857,0.07258064516129033,0.12650602409638553,0.7607054970932362,0.9297235023041475,0.08560298275109461
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,3,50-54 years,161,0.8012422360248447,0.7888198757763976,0.8771733248635423,0.921875,0.8757763975155279,0.9291338582677166,0.9147286821705426,118,9,23,11,0.28125,0.08527131782945736,0.12422360248447205,0.7765463545544283,0.9004360465116279,0.0850420168940067
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,4,50-54 years,154,0.7012987012987013,0.7987012987012987,0.7717996289424861,0.8571428571428571,0.7857142857142857,0.8048780487804879,0.9166666666666666,99,24,22,9,0.5217391304347826,0.08333333333333333,0.21428571428571427,0.7740548601357644,0.8468196457326892,0.14631041175982826
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,5,50-54 years,148,0.7972972972972973,0.8378378378378378,0.8590325863053135,0.9173553719008265,0.8648648648648649,0.8951612903225806,0.940677966101695,111,13,17,7,0.43333333333333335,0.059322033898305086,0.13513513513513514,0.8137378035538927,0.8728813559322034,0.09203556517147696
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,1,55-59 years,350,0.8,0.8142857142857143,0.8696165191740414,0.9203539823008849,0.8714285714285714,0.9122807017543859,0.9285714285714286,260,25,45,20,0.35714285714285715,0.07142857142857142,0.12857142857142856,0.7953872468130433,0.8976530612244898,0.09529481133886422
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,2,55-59 years,369,0.7804878048780488,0.8292682926829268,0.8467294900221729,0.9090909090909091,0.8536585365853658,0.8823529411764706,0.9375,270,36,45,18,0.4444444444444444,0.0625,0.14634146341463414,0.8018070487124783,0.8789437585733882,0.10994979277097817
canonical Submission 6 nested artifact,approved_canonical_outer_fold_diagnostic,True,3,55-59 years,388,0.7938144329896907,0.8015463917525774,0.8105140360660847,0.8820678513731826,0.8118556701030928,0.8778135048231511,0.8863636363636364,273,38,42,35,0.475,0.11363636363636363,0.18814432989690721,0.7987683208567549,0.8130681818181817,0.1240477659689492
