feature_family,feature,categories_after_rare_pooling,cramers_v,chi_square_p_value,expected_cell_min,fraction_expected_cells_under_5,bh_q_value,material_effect
histology,histologic_type_icdo3,28,0.07657469883891806,2.8823845433002005e-22,2.27625,0.125,1.2490333020967535e-21,False
histology,histology_family,7,0.07035836381817581,1.5949918649831081e-24,17.982375,0.0,2.0734894244780405e-23,False
stage,summary_stage,5,0.0670210417155263,3.0073794690564605e-23,54.857625,0.0,1.9547966548866994e-22,False
data_quality,diagnostic_confirmation,7,0.059112905590978114,3.23854091023409e-17,1.138125,0.14285714285714285,1.0525257958260791e-16,False
treatment,rx_summ_surgprim_site19982022,11,0.05393546918151792,5.459192728701171e-13,3.18675,0.09090909090909091,1.1828250912185871e-12,False
stage,derived_eod_composite_stage,7,0.05229605557856546,1.8886169492353148e-13,46.359625,0.0,4.910404068011819e-13,False
treatment,rx_summ_scope_reglnsur2003,7,0.04937627158212511,5.430839743185728e-12,1.66925,0.07142857142857142,1.0085845237344923e-11,False
treatment,rx_summ_surgothregdis2003,7,0.045043745864905574,5.347168165058583e-10,0.986375,0.07142857142857142,8.689148268220197e-10,False
treatment,reason_nocancer_directed_surgery,8,0.04427254391802797,2.309719400548494e-09,3.18675,0.125,3.0026352207130418e-09,False
treatment,radiation_recode,6,0.043949136734367664,7.315235542269745e-10,3.18675,0.16666666666666666,1.0566451338834075e-09,False
calendar,year_of_diagnosis,11,0.04209840536423535,9.089282282801378e-08,119.654875,0.0,9.846722473034827e-08,False
disease_profile,grade_recode_thru2017,8,0.04104017848762772,4.61846186405912e-08,0.15175,0.1875,5.458182202978961e-08,False
tumor_size,tumor_size_best_bin,8,0.027456378079434084,0.0007308221431130068,53.036625,0.0,0.0007308221431130068,False
