feature_family,feature,level,focal_count,rest_count,focal_prevalence,rest_prevalence,prevalence_difference,focal_dead_rate,rest_dead_rate,focal_error_rate,rest_error_rate
calendar,year_of_diagnosis,2016,220,2128,0.12081274025260846,0.09594661616844763,0.024866124084160834,0.8409090909090909,0.9083646616541353,0.14545454545454545,0.08223684210526316
calendar,year_of_diagnosis,2015,208,2215,0.11422295442064799,0.09986924568285314,0.014353708737794846,0.8605769230769231,0.9282167042889391,0.13942307692307693,0.0690744920993228
calendar,year_of_diagnosis,2018,192,2038,0.10543657331136738,0.09188872356733847,0.013547849744028909,0.7552083333333334,0.8802747791952895,0.140625,0.11530912659470069
calendar,year_of_diagnosis,2013,198,2263,0.10873146622734761,0.10203345507011137,0.006698011157236242,0.8939393939393939,0.9407865665046399,0.1111111111111111,0.05788775961113566
calendar,year_of_diagnosis,2014,192,2198,0.10543657331136738,0.0991027548581992,0.0063338184531681885,0.8854166666666666,0.9290263876251137,0.13020833333333334,0.06369426751592357
calendar,year_of_diagnosis,2019,174,2064,0.09555189456342669,0.09306100365210335,0.0024908909113233457,0.8448275862068966,0.8425387596899225,0.13218390804597702,0.11627906976744186
calendar,year_of_diagnosis,2017,182,2183,0.09994508511806699,0.098426439424681,0.0015186456933859865,0.8406593406593407,0.8891433806688044,0.12637362637362637,0.09894640403114979
calendar,year_of_diagnosis,2020,144,1882,0.07907742998352553,0.08485504305874926,-0.005777613075223731,0.6875,0.7943676939426142,0.2222222222222222,0.15621679064824653
calendar,year_of_diagnosis,2022,117,1784,0.0642504118616145,0.08043644889309708,-0.01618603703148258,0.6666666666666666,0.6743273542600897,0.23076923076923078,0.19338565022421525
calendar,year_of_diagnosis,2021,120,1921,0.06589785831960461,0.08661346318589656,-0.020715604866291953,0.725,0.7641853201457575,0.25,0.16345653305570015
calendar,year_of_diagnosis,2023,74,1503,0.040637012630422846,0.06776680643852293,-0.02712979380810008,0.3108108108108108,0.4504324683965403,0.22972972972972974,0.24484364604125083
data_quality,diagnostic_confirmation,Positive histology,1522,16986,0.8358045030203185,0.7658595969160016,0.06994490610431692,0.7739816031537451,0.8031319910514542,0.16557161629434955,0.13605322029906983
data_quality,diagnostic_confirmation,"Positive exfoliative cytology, no positive histology",198,2281,0.10873146622734761,0.1028450335903332,0.0058864326370144104,0.8838383838383839,0.9232792634809294,0.11616161616161616,0.06970626918018413
data_quality,diagnostic_confirmation,<RARE n<30>,1,14,0.0005491488193300384,0.0006312277379503133,-8.207891862027487e-05,1.0,0.8571428571428571,0.0,0.21428571428571427
data_quality,diagnostic_confirmation,Pos hist AND immunophenotyping AND/OR pos genetic studies,2,49,0.001098297638660077,0.002209297082826097,-0.00111099944416602,0.0,0.5918367346938775,0.5,0.30612244897959184
data_quality,diagnostic_confirmation,Clinical diagnosis only,10,270,0.0054914881933003845,0.012173677803327471,-0.006682189610027087,0.9,0.8962962962962963,0.1,0.07037037037037037
