column,definition,focal_missing_count,rest_missing_count,focal_rate,rest_rate,rate_difference,difference_ci95_lower,difference_ci95_upper,binary_smd,z_statistic,p_value,bh_q_value,material_effect
rx_summ_scope_reglnsur2003,physical_na,1119,14841,0.6144975288303131,0.6691464899229,-0.05464896109258699,-0.07784578906092415,-0.03145213312424982,-0.11416462636438655,-4.749731025881738,2.0368738288007416e-06,7.129058400802596e-05,True
seer_combined_metsatdxbone2010,physical_na,5,63,0.0027457440966501922,0.00284052482077641,-9.47807241262178e-05,-0.0025982086761775886,0.002408647227925153,-0.001795897914803622,-0.07314887364017802,0.9416876502559779,1.0,False
seer_combined_metsatdxliver2010,physical_na,5,62,0.0027457440966501922,0.0027954371252085306,-4.969302855833838e-05,-0.0025515695115011974,0.0024521834543845206,-0.0009453917243393354,-0.03863590310517789,0.9691806771138174,1.0,False
race,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
sex,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
year_of_diagnosis,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tumor_size_overtime,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
tumor_size_summary,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
regional_nodes_examined,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
regional_nodes_positive,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
origin,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
primary_site,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
marital_status_at_diagnosis,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
sequence_number,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
site_recode_icdo3_who2008,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
histologic_type_icdo3,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
grade_recode_thru2017,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
laterality,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
diagnostic_confirmation,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
summary_stage,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
derived_eod2018t_recode2018,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
derived_eod2018n_recode2018,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
derived_eod2018m_recode2018,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
rx_summ_surgprim_site19982022,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
rx_summ_surgprim_site20232023,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
rx_summ_surgothregdis2003,physical_na,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False
