candidate,scope,rows,actual_dead_rate,predicted_dead_rate,weighted_f1,dead_class_f1,accuracy,dead_precision,dead_recall,true_positive,false_positive,true_negative,false_negative,false_positive_rate,false_negative_rate,error_rate,mean_probability,roc_auc,brier_score
submission6_nested_equivalent,GLOBAL,24000,0.83,0.845,0.8770041331802525,0.927910447761194,0.87925,0.9196745562130177,0.9362951807228915,18651,1629,2451,1269,0.39926470588235297,0.06370481927710843,0.12075,0.833118859274258,0.9006663049255847,0.0837900584594722
submission6_nested_equivalent,55-59 years,1821,0.7924217462932455,0.8204283360790774,0.8380620413687495,0.902281239359891,0.842394288852279,0.8868808567603749,0.9182259182259183,1325,169,209,118,0.4470899470899471,0.08177408177408177,0.15760571114772104,0.8024764681190143,0.8624741958075292,0.110103045788038
submission6_nested_equivalent,all_other_ages,22179,0.83308535100771,0.8470174489381848,0.8802005891894334,0.9299304940557658,0.8822760268722666,0.9222825508357287,0.9377063376089192,17326,1460,2242,1151,0.3943814154511075,0.062293662391080806,0.11772397312773344,0.8356347434121226,0.9036659298737721,0.08162963869639368
frozen_tree_pre_pseudo_proxy,GLOBAL,24000,0.83,0.845,0.877513432835821,0.9282089552238806,0.87975,0.9199704142011834,0.9365963855421687,18657,1623,2457,1263,0.3977941176470588,0.06340361445783133,0.12025,0.8311134183060722,0.9016228886132764,0.08350639375935721
frozen_tree_pre_pseudo_proxy,55-59 years,1821,0.7924217462932455,0.8204283360790774,0.8391905288853435,0.9029622063329928,0.8434925864909391,0.8875502008032129,0.918918918918919,1326,168,210,117,0.4444444444444444,0.08108108108108109,0.15650741350906094,0.8001696746170953,0.8673655340322006,0.1088417426608422
frozen_tree_pre_pseudo_proxy,all_other_ages,22179,0.83308535100771,0.8470174489381848,0.8806594149681028,0.9301988567748168,0.8827269038279454,0.9225487064835516,0.9379769443091411,17331,1455,2247,1146,0.39303079416531606,0.062023055690858905,0.11727309617205464,0.8336540449013934,0.9043393034346701,0.08142624269981422
nested_pseudo95_proxy,GLOBAL,24000,0.83,0.845,0.8742029850746268,0.9262686567164179,0.8765,0.9180473372781065,0.9346385542168675,18618,1662,2418,1302,0.4073529411764706,0.06536144578313254,0.1235,0.8385436908327963,0.8969773210489015,0.08577760240130103
nested_pseudo95_proxy,55-59 years,1821,0.7924217462932455,0.8242723778143877,0.8334328171714123,0.9001358695652174,0.8385502471169687,0.882744836775483,0.9182259182259183,1325,176,202,118,0.4656084656084656,0.08177408177408177,0.1614497528830313,0.8082423362178771,0.8541251874585208,0.1136262563120147
nested_pseudo95_proxy,all_other_ages,22179,0.83308535100771,0.8467018350692096,0.8775442128461672,0.928333691217522,0.8796158528337616,0.9208690558602695,0.9359203333874547,17293,1486,2216,1184,0.4014046461372231,0.06407966661254533,0.12038414716623834,0.8410315742700013,0.9003402744025037,0.08349109720397882
nested_pseudo90,GLOBAL,24000,0.83,0.845,0.8747971680061233,0.9266169154228856,0.8770833333333333,0.9183925049309665,0.9349899598393574,18625,1655,2425,1295,0.4056372549019608,0.06501004016064257,0.12291666666666666,0.8384899279733746,0.8968897034215293,0.08583630801301544
nested_pseudo90,55-59 years,1821,0.7924217462932455,0.8215266337177375,0.8344849407078724,0.9003062266076897,0.8390993959362988,0.8843582887700535,0.9168399168399168,1323,173,205,120,0.4576719576719577,0.08316008316008316,0.16090060406370127,0.8080146378759672,0.8536375203041869,0.11401164626646827
nested_pseudo90,all_other_ages,22179,0.83308535100771,0.846927273547049,0.8781044174135446,0.9286921982770189,0.8802019928761441,0.921103066439523,0.936407425447854,17302,1482,2220,1175,0.40032414910858993,0.06359257455214591,0.1197980071238559,0.8409920923300804,0.9002745890484198,0.08352298049781919
pseudo90_nn20_stress_screen,GLOBAL,24000,0.83,0.845,0.8761553004209721,0.9274129353233831,0.8784166666666666,0.919181459566075,0.935793172690763,18641,1639,2441,1279,0.4017156862745098,0.06420682730923695,0.12158333333333333,0.8362313723105469,0.8984534461374911,0.08487794099305608
pseudo90_nn20_stress_screen,55-59 years,1821,0.7924217462932455,0.8215266337177375,0.8322253494547374,0.8989452194624021,0.8369028006589786,0.8830213903743316,0.9154539154539154,1321,175,203,122,0.46296296296296297,0.08454608454608455,0.1630971993410214,0.8047734688407455,0.8585545252211919,0.11241845673528615
pseudo90_nn20_stress_screen,all_other_ages,22179,0.83308535100771,0.846927273547049,0.879755994746293,0.9296583559217413,0.8818251499165878,0.92206132879046,0.9373816095686529,17320,1464,2238,1157,0.39546191247974066,0.06261839043134708,0.11817485008341223,0.8388142138371489,0.9015625658333764,0.08261673538565262
