dimension,slice,rows,pseudo90_dead_class_f1,combined_dead_class_f1,combined_minus_pseudo90_dead_f1,pseudo90_weighted_f1,combined_weighted_f1,combined_minus_pseudo90_weighted_f1,changed_predictions,pseudo90_dead_to_combined_alive,pseudo90_alive_to_combined_dead,corrected_predictions,harmed_predictions,net_corrected,large_enough_for_intervention,material_dead_f1_regression,material_weighted_f1_regression,fold_dead_delta_mean,fold_dead_delta_std,fold_dead_delta_min,fold_dead_delta_max,fold_dead_wins,fold_dead_ties,fold_dead_losses,fold_weighted_delta_mean,fold_weighted_delta_std,fold_weighted_delta_min,fold_weighted_delta_max,fold_weighted_wins,fold_weighted_ties,fold_weighted_losses
GLOBAL,all rows,24000,0.9266169154228856,0.9274129353233831,0.000796019900497491,0.8747971680061233,0.8761553004209721,0.0013581324148488338,220,110,110,126,94,32,True,False,False,0.0004975124378109541,0.0009950248756219054,-0.0007462686567164534,0.0017412935323383172,3,1,1,0.0008488327592805822,0.0016976655185610492,-0.0012732491389206846,0.0029709146574818934,3,1,1
age_recode,55-59 years,1821,0.9003062266076897,0.8989452194624021,-0.0013610071452875294,0.8344849407078724,0.8322253494547374,-0.002259591253135018,16,8,8,6,10,-4,True,True,True,-0.001416356156634424,0.0034274833040489785,-0.005182072829131634,0.0036475051065071318,1,1,3,-0.002167999015190003,0.005067597208986446,-0.008896072322114645,0.004790200776065623,1,1,3
age_recode,70-74 years,4233,0.9220967274833478,0.921716439547695,-0.00038028793565281216,0.8711374631169515,0.8709221590664793,-0.00021530405047220924,38,23,15,18,20,-2,True,False,False,-0.001222325308650274,0.0022671426511115225,-0.00438105432436342,0.0013298965455674772,2,0,3,-0.0016161890935423306,0.003859718225671302,-0.0066158140889219785,0.002648509965154977,2,0,3
age_recode,45-49 years,341,0.8871287128712871,0.8871287128712871,0.0,0.8306977444600666,0.8306977444600666,0.0,2,1,1,1,1,0,False,False,False,0.0044298685920949096,0.006147207823431575,0.0,0.012484394506866336,2,3,0,0.006583208502925641,0.009107941885478999,0.0,0.018299035259108698,2,3,0
age_recode,80-84 years,2943,0.9473081328751431,0.9479702687249857,0.0006621358498425378,0.9035549047791972,0.9039865416073156,0.0004316368281184202,21,6,15,12,9,3,True,False,False,0.00044002650360011055,0.0022809372158418295,-0.0019743336623888608,0.0030506091287889614,3,0,2,0.0006116612990578974,0.0037274369623931775,-0.003705763657235628,0.005187920655813971,3,0,2
age_recode,90+ years,957,0.9833780160857909,0.984467059453669,0.001089043367878073,0.9634229864132531,0.9649831112639806,0.00156012485072754,4,1,3,3,1,2,True,False,False,0.0016379174895582605,0.003605486461766415,-0.002610192448783799,0.0057749042746845225,2,2,1,0.0008131630536577061,0.005542465609533224,-0.00756157325376805,0.00665226414394704,2,2,1
age_recode,65-69 years,3851,0.906477144241641,0.9076201261931727,0.0011429819515316186,0.8481826777067698,0.850661139942625,0.002478462235855239,42,26,16,25,17,8,True,False,False,0.0003380517001083883,0.0018602643015022122,-0.002559050289834941,0.002374404900622573,3,1,1,0.0011101482203102141,0.003124176865916218,-0.0038018057207012124,0.0040669804003984344,3,1,1
age_recode,75-79 years,4027,0.9290132547864507,0.9303694980126601,0.0013562432262094193,0.8777647633058241,0.8799258337257824,0.0021610704199582775,39,18,21,24,15,9,True,False,False,0.0012042431132916586,0.0013192824978052126,0.0001030612770721584,0.0033750142367086067,5,0,0,0.0018523143635645444,0.003209178572017843,-0.0008441786594302059,0.006943376520451738,3,0,2
age_recode,85-89 years,1823,0.9691501746216531,0.970648067422261,0.0014978928006078585,0.9371747573072386,0.9393865686329367,0.002211811325698032,11,3,8,8,3,5,True,False,False,0.0017886555165149253,0.003204424447466751,0.0,0.007393853703164588,2,3,0,0.002752944015142389,0.004998754542459677,0.0,0.01152509265315016,2,3,0
age_recode,60-64 years,2925,0.9119017365523083,0.9135593220338983,0.001657585481590007,0.8565302397209181,0.8593861691530809,0.0028559294321627293,34,18,16,21,13,8,True,False,False,0.0012680423789627859,0.004313030344580017,-0.004381161007667056,0.005344796821835307,3,0,2,0.0018908711705966975,0.006486252305053056,-0.0070525970419755835,0.007397917830849088,3,0,2
age_recode,50-54 years,789,0.9052631578947369,0.9076175040518638,0.0023543461571269297,0.8484323247009431,0.8524839942599609,0.004051669559017812,9,5,4,6,3,3,True,False,False,0.000855881565412675,0.0030310266842799543,-0.0036305220883533496,0.004195038910505877,3,1,1,0.0009355729640448285,0.005871322595449648,-0.00665249065613005,0.00792393452483231,2,1,2
derived_eod_composite_stage,M0 N0 T0-2 localized,2566,0.6670140698280355,0.6652719665271967,-0.0017421033008387932,0.7447811356840914,0.7441198858617643,-0.0006612498223271812,47,27,20,23,24,-1,True,True,False,-0.0021765255498733317,0.007240818366368684,-0.011642411642411643,0.00807442304251893,1,1,3,-0.0007530656490601251,0.004396882361153814,-0.005293816845297061,0.00599813474337052,1,1,3
