dimension,slice,candidate,outer_fold,rows,actual_dead_rate,fold_global_policy_predicted_dead_rate,fold_global_policy_dead_class_f1,fold_global_policy_weighted_f1,fold_within_slice_predicted_dead_rate,fold_within_slice_dead_class_f1,fold_within_slice_weighted_f1
GLOBAL,all rows,frozen_tree,1,4800,0.83,0.845,0.9276119402985075,0.8764948335246843,0.845,0.9276119402985075,0.8764948335246843
GLOBAL,all rows,frozen_tree,2,4800,0.83,0.845,0.9305970149253732,0.8815878300803675,0.845,0.9305970149253732,0.8815878300803675
GLOBAL,all rows,frozen_tree,3,4800,0.83,0.845,0.9273631840796019,0.876070417145044,0.845,0.9273631840796019,0.876070417145044
GLOBAL,all rows,frozen_tree,4,4800,0.83,0.845,0.9276119402985075,0.8764948335246843,0.845,0.9276119402985075,0.8764948335246843
GLOBAL,all rows,frozen_tree,5,4800,0.83,0.845,0.926865671641791,0.8752215843857634,0.845,0.926865671641791,0.8752215843857634
GLOBAL,all rows,nested_pseudo90,1,4800,0.83,0.845,0.9281094527363184,0.8773436662839648,0.845,0.9281094527363184,0.8773436662839648
GLOBAL,all rows,nested_pseudo90,2,4800,0.83,0.845,0.9296019900497512,0.8798901645618064,0.845,0.9296019900497512,0.8798901645618064
GLOBAL,all rows,nested_pseudo90,3,4800,0.83,0.845,0.9241293532338308,0.8705530042097206,0.845,0.9241293532338308,0.8705530042097206
GLOBAL,all rows,nested_pseudo90,4,4800,0.83,0.845,0.9258706467661691,0.8735239188672025,0.845,0.9258706467661691,0.8735239188672025
GLOBAL,all rows,nested_pseudo90,5,4800,0.83,0.845,0.9256218905472637,0.8730995024875623,0.845,0.9256218905472637,0.8730995024875623
GLOBAL,all rows,nested_pseudo90_nn20,1,4800,0.83,0.845,0.9283582089552239,0.8777680826636051,0.845,0.9283582089552239,0.8777680826636051
GLOBAL,all rows,nested_pseudo90_nn20,2,4800,0.83,0.845,0.9296019900497512,0.8798901645618064,0.845,0.9296019900497512,0.8798901645618064
GLOBAL,all rows,nested_pseudo90_nn20,3,4800,0.83,0.845,0.9258706467661691,0.8735239188672025,0.845,0.9258706467661691,0.8735239188672025
GLOBAL,all rows,nested_pseudo90_nn20,4,4800,0.83,0.845,0.9271144278606965,0.8756460007654039,0.845,0.9271144278606965,0.8756460007654039
GLOBAL,all rows,nested_pseudo90_nn20,5,4800,0.83,0.845,0.9248756218905473,0.8718262533486416,0.845,0.9248756218905473,0.8718262533486416
age_recode,45-49 years,frozen_tree,1,72,0.7361111111111112,0.7222222222222222,0.8952380952380953,0.8484533984533985,0.8472222222222222,0.8947368421052632,0.8169590643274853
age_recode,45-49 years,frozen_tree,2,91,0.6923076923076923,0.7692307692307693,0.9022556390977443,0.8506981740064447,0.8461538461538461,0.8857142857142857,0.8036630036630036
age_recode,45-49 years,frozen_tree,3,61,0.6229508196721312,0.6885245901639344,0.875,0.8323575331772052,0.8524590163934426,0.8444444444444444,0.7381375227686703
age_recode,45-49 years,frozen_tree,4,59,0.8305084745762712,0.8135593220338984,0.9484536082474226,0.9168351597147683,0.847457627118644,0.9494949494949495,0.9134520945404085
age_recode,45-49 years,frozen_tree,5,58,0.7931034482758621,0.7241379310344828,0.8863636363636364,0.8359829825347067,0.8448275862068966,0.9052631578947369,0.8361939331086335
